Player_ID,Player_Name,Season,Team,Country,Role,Matches,Innings,Runs,Highest_Score,Average,Strike_Rate,Fours,Sixes,Wickets,Economy,Bowling_Average,Catches,Player_Price_Cr,Status,Date_Updated
P175, MS DHONI ,2025,Chennai Super Kings,India,Bowler,7,4,361,101,32.39,101.64,77,7,3,6.65,41.65,9,,Released,16/08/2024
P183,Ruturaj Gaikwad,2024,CSK,,Bowler,3,4,819,13,59.13,350,46,46,30,11.21,34.15,13,,Playing,9/16/2025
P089,Suryakumar Yadav,2025,CSK,,Batter,4,4,446,148,65.88,150.3,29,29,27,8.26,43.26,15,,Playing,24/04/2024
P095,Ruturaj Gaikwad,2024,CSK,England,All-rounder,14,12,864,104,9.45,-10,39,1,6,8.97,40.47,9,,Playing,2/5/2025
P009,Rohit Sharma,2023,MI,Australia,Wicket Keeper,10,10,107,21,75.55,90.84,55,58,22,8.22,14.23,10,9.92,Retained,5/3/2024
P027,KL Rahul,2024,RCB,England,Bowler,4,10,898,61,28.95,-10,54,18,0,3.65,43.44,13,,Injured,7/2/2023
P184,RAVINDRA JADEJA,2025,RCB,,Wicket Keeper,2,10,,72,23.07,131.68,43,23,16,10.68,19.43,17,18.62,Released,2/9/2025
P112,Ravindra Jadeja,2025,Mumbai Indians,,Batter,2,11,,69,75.39,,17,36,18,5.63,22.67,7,,Injured,16/09/2024
P161,Shubman Gill,2024,Royal Challengers Bengaluru,England,Wicket Keeper,9,3,436,68,31.32,-10,65,14,13,7.91,14.55,13,24.12,Playing,5/11/2025
P213, Shubman Gill ,2024,Mumbai Indians,South Africa,Bowler,6,13,795,102,17.67,,62,2,23,11.18,37.28,1,,Injured,10/10/2023
P158,Ruturaj Gaikwad,2023,CSK,New Zealand,Wicket Keeper,6,9,366,38,60.77,,74,5,1,4.95,16.59,15,11.9,Injured,23/08/2024
P058, SURYAKUMAR YADAV ,2023,Mumbai Indians,Australia,All-rounder,2,4,207,45,50.17,139.43,5,10,25,11.08,15.58,8,22.64,Released,12/18/2023
P089, Shubman Gill ,2024,CSK,India,Batter,2,3,,63,53.29,85.02,76,54,28,3.82,49.83,8,8.06,Playing,6/24/2025
P194, Jasprit Bumrah ,2024,CSK,India,Wicket Keeper,8,6,214,37,66.5,,10,17,29,3.49,31.41,7,21.56,Released,4/30/2025
P113, KL RAHUL ,2025,Kolkata Knight Riders,India,Bowler,14,2,546,109,28.27,,22,34,8,6.55,18.92,14,4.46,Retained,9/4/2023
P158,SURYAKUMAR YADAV,2024,Kolkata Knight Riders,,Batter,10,10,,20,9.03,350,59,41,20,5.63,10.56,19,24.47,Released,6/8/2025
P112,Suryakumar Yadav,2023,Mumbai Indians,England,Wicket Keeper,7,0,525,134,34.18,80.51,48,50,28,8.09,31.81,11,20.14,Released,8/16/2023
P057,Hardik Pandya,2024,KKR,India,Batter,8,2,489,104,73.54,-10,8,0,4,10.61,46.78,7,,Playing,7/26/2023
P176, KL Rahul ,2024,RCB,India,Batter,8,9,22,24,78.5,82.7,98,23,10,8.68,27.07,14,10.58,Playing,6/14/2024
P133,Suryakumar Yadav,2023,Royal Challengers Bengaluru,,Wicket Keeper,14,13,,1,9.72,169.09,24,16,16,3.35,10.65,11,,Injured,1/14/2025
P001,Hardik Pandya,2024,Kolkata Knight Riders,South Africa,Bowler,10,6,681,2,51.76,,99,1,3,10.9,12.44,2,,Retained,25/05/2023
P077,Rohit Sharma,2025,CSK,South Africa,Wicket Keeper,3,10,225,68,47.4,,60,15,22,8.62,14.93,20,4.64,Retained,11/7/2025
P004,Hardik Pandya,2025,SRH,India,Wicket Keeper,10,4,565,135,59.32,350,9,59,28,7,20.88,6,14.47,Released,4/13/2024
P181, Ruturaj Gaikwad ,2025,Sunrisers Hyderabad,New Zealand,All-rounder,3,8,,107,54.42,,59,3,13,8.16,48.35,11,15.98,Released,2/14/2024
P074,RUTURAJ GAIKWAD,2025,Royal Challengers Bengaluru,,All-rounder,2,8,,28,14.41,185.04,13,29,0,8.59,24.97,0,3.87,Released,8/18/2024
P051,Rohit Sharma,2024,Chennai Super Kings,,Bowler,8,13,,28,76.74,,11,18,10,5.8,35.88,5,,Playing,12/5/2024
P220,RAVINDRA JADEJA,2023,Sunrisers Hyderabad,South Africa,Bowler,4,0,703,5,70.12,140.45,31,6,28,10.12,34.26,6,,Retained,2/1/2024
P055,Shubman Gill,2024,MI,India,All-rounder,0,5,,132,72.81,-10,46,19,19,3.91,41.63,20,10.73,Injured,17/08/2023
P055, Jasprit Bumrah ,2023,CSK,England,Batter,9,14,,44,66.28,158.79,68,8,15,10.13,35.65,19,,Playing,20/01/2025
P080, Virat Kohli ,2025,RCB,England,Batter,12,8,315,144,70.89,-10,24,51,11,10.75,10.33,1,3.05,Released,9/4/2024
P053, KL Rahul ,2023,RCB,India,All-rounder,11,11,768,19,37.82,169.96,31,52,1,7.39,26.79,7,,Released,6/5/2025
P113,Virat Kohli,2024,Royal Challengers Bengaluru,South Africa,Wicket Keeper,14,5,,28,10.68,-10,99,0,24,5.38,23.62,13,,Injured,10/25/2024
P017,KL Rahul,2023,CSK,India,Batter,4,11,596,56,49.86,,14,1,10,9.82,12.48,10,15.36,Injured,11/13/2023
P199,Ravindra Jadeja,2024,MI,India,Batter,12,14,95,12,27.23,350,19,25,2,6.89,35.11,13,,Injured,9/21/2023
P200,KL Rahul,2025,RCB,,Bowler,12,13,,102,32.98,157.85,90,49,0,6.84,30.16,20,,Injured,13/07/2025
P115, Suryakumar Yadav ,2023,Mumbai Indians,,Bowler,0,1,439,8,21.27,-10,5,4,11,3.14,21.98,11,13.48,Injured,12/16/2023
P093,HARDIK PANDYA,2025,Chennai Super Kings,India,Bowler,5,13,406,33,7.51,161.76,82,6,12,7.88,40.98,6,11.89,Injured,26/08/2024
P024,Rohit Sharma,2023,CSK,New Zealand,Batter,6,11,888,148,41.04,-10,85,23,30,5.49,23.89,6,,Injured,7/3/2023
P014,Hardik Pandya,2024,Mumbai Indians,Australia,Wicket Keeper,0,0,,5,49.44,,27,43,29,3.86,19.77,16,,Released,3/21/2025
P086,ROHIT SHARMA,2024,MI,New Zealand,Batter,10,12,,12,27.24,156.42,74,49,3,8.73,38.05,5,,Released,9/18/2024
P138,Jasprit Bumrah,2023,Kolkata Knight Riders,New Zealand,Wicket Keeper,14,4,,118,10.67,102.23,61,20,11,5.37,26.73,12,,Playing,4/15/2023
P067,Shubman Gill,2023,Mumbai Indians,India,All-rounder,1,7,514,127,42.26,350,47,24,5,3.19,24.26,5,,Retained,12/15/2023
P210,Virat Kohli,2025,Sunrisers Hyderabad,England,Batter,12,13,,77,66.03,350,23,59,2,3.65,44.13,13,,Retained,8/7/2025
P179,Ruturaj Gaikwad,2024,SRH,South Africa,All-rounder,1,9,,128,47.45,,35,6,0,5.84,49.64,13,,Released,3/18/2024
P030,VIRAT KOHLI,2023,MI,New Zealand,Wicket Keeper,7,8,346,128,31.91,-10,58,7,2,10.21,40.63,19,,Playing,2/19/2024
P001,Ruturaj Gaikwad,2024,Mumbai Indians,England,All-rounder,14,4,806,64,44.83,186.25,90,26,28,10.64,47.22,15,13.06,Retained,13/06/2024
P190, Shubman Gill ,2023,MI,Australia,Wicket Keeper,7,11,332,33,18.57,350,52,39,16,3.58,19.04,8,,Retained,25/07/2023
P176,Rohit Sharma,2024,CSK,New Zealand,All-rounder,5,2,,108,71.55,,80,60,18,3.98,44.29,4,,Playing,22/05/2025
P216,KL Rahul,2023,Sunrisers Hyderabad,England,All-rounder,3,7,804,94,57.54,-10,32,5,20,3.61,13.38,1,,Retained,1/13/2024
P019,Shubman Gill,2023,Sunrisers Hyderabad,,Batter,12,1,441,148,25.83,185.88,56,8,12,9.91,13.83,17,,Released,1/7/2023
P111,Hardik Pandya,2025,Chennai Super Kings,South Africa,Batter,6,8,854,54,75.54,-10,85,5,10,8.63,40.11,13,5.02,Released,3/9/2025
P059,Shubman Gill,2025,Kolkata Knight Riders,,Batter,8,2,232,68,14.15,139.12,16,52,19,5.87,18.78,10,,Playing,3/29/2025
